Source,Target,Weight
2822584,2815147,1.0
2817595,2815714,1.0
2816253,2817727,1.0
2816253,2818937,1.0
2821375,2815147,1.0
2817894,2816253,1.0
2817894,2815922,2.0
2817805,2816253,1.0
2817805,2815147,3.0
2817805,2817763,2.0
2817805,2817029,1.0
2817805,2818510,1.0
2815389,2815147,1.0
2815389,2815392,1.0
2816366,2815147,2.0
2816366,2816386,1.0
2816366,2817029,1.0
2815714,2817727,1.0
2815714,2821210,1.0
2815714,2815718,1.0
2815714,2816253,1.0
2815714,2817894,3.0
2815714,2816891,1.0
2815714,2820361,1.0
2815714,2817511,1.0
2815714,2815147,12.0
2815714,2817339,1.0
2815714,2817359,2.0
2822702,2815147,1.0
2822702,2817029,1.0
2817511,2817595,1.0
2815147,2817727,2.0
2815147,2821210,1.0
2815147,2815718,1.0
2815147,2816253,3.0
2815147,2817894,2.0
2815147,2818937,1.0
2815147,2820361,1.0
2815147,2817511,1.0
2815147,2816952,1.0
2815147,2818590,2.0
2815147,2816502,4.0
2815147,2817763,2.0
2815147,2817339,2.0
2815147,2817114,2.0
2815147,2816482,1.0
2815147,2818386,1.0
2815147,2815657,2.0
2818590,2817805,1.0
2818590,2817763,1.0
2818167,2817029,1.0
2816226,2815714,5.0
2816226,2815147,3.0
2816226,2817359,1.0
2816226,2815922,1.0
2816226,2817029,1.0
2815360,2815147,1.0
2816502,2817727,1.0
2816502,2822309,1.0
2816502,2815714,1.0
2816502,2816386,1.0
2816502,2821477,1.0
2817744,2817805,1.0
2817744,2815147,1.0
2817744,2817763,1.0
2816355,2816366,1.0
2816355,2815147,1.0
2816355,2816386,1.0
2817339,2817359,1.0
2817359,2821375,1.0
2817359,2815147,2.0
2817359,2816502,1.0
2817359,2822444,1.0
2817359,2822423,1.0
2817359,2815922,1.0
2822444,2822584,1.0
2822444,2815147,1.0
2822444,2816502,1.0
2822387,2816502,1.0
2822387,2817359,1.0
2822387,2822444,1.0
2822387,2822423,1.0
2822387,2817029,1.0
2822387,2822398,1.0
2822423,2816502,1.0
2822423,2822444,1.0
2815922,2821210,1.0
2815922,2816253,1.0
2815922,2815714,8.0
2815922,2815147,5.0
2822496,2815147,1.0
2822496,2817029,1.0
2815425,2815147,1.0
2815392,2815147,1.0
2816386,2817805,1.0
2816386,2815147,3.0
2816386,2818590,1.0
2816386,2817763,1.0
2816386,2817114,1.0
2817114,2822309,1.0
2817114,2816502,2.0
2817029,2817727,1.0
2817029,2816253,1.0
2817029,2815714,2.0
2817029,2815147,11.0
2817029,2816502,2.0
2817029,2817359,1.0
2817029,2822444,1.0
2817029,2822423,1.0
2817029,2816386,1.0
2817029,2817114,2.0
2822398,2816502,1.0
2822398,2817359,1.0
2822398,2822444,1.0
2822398,2822423,1.0
2822398,2817029,1.0
2821477,2817114,2.0
2818510,2815147,1.0
2818510,2818590,1.0
2818510,2817763,1.0
2816482,2815714,1.0
2816482,2817339,1.0
2816482,2817359,1.0
2818386,2818374,1.0
2815657,2815718,1.0
2815657,2815714,2.0
2815657,2815922,1.0
2815333,2815147,1.0
