Source,Target,Weight
2684506,2683140,2.0
2684506,2684490,1.0
2682848,2684506,1.0
2682848,2688630,1.0
2682848,2684538,1.0
2682848,2683140,13.0
2682848,2684490,1.0
2682848,2685328,1.0
2682848,2683749,1.0
2682913,2682848,1.0
2682913,2682851,3.0
2682913,2683235,1.0
2682913,2683140,1.0
2683023,2682848,8.0
2683023,2682851,6.0
2683023,2684538,2.0
2683023,2683140,2.0
2682851,2684506,4.0
2682851,2687836,1.0
2682851,2682848,12.0
2682851,2689157,1.0
2682851,2684538,1.0
2684538,2684506,1.0
2684538,2683235,2.0
2683235,2684506,1.0
2683235,2682848,2.0
2683235,2683023,1.0
2683235,2682851,3.0
2683235,2683140,1.0
2683140,2682851,4.0
2683140,2685328,1.0
2684490,2683140,1.0
2683506,2682913,1.0
2683506,2683509,1.0
2683509,2682913,1.0
2683415,2682848,3.0
2683415,2683749,1.0
2683749,2683023,1.0
2683749,2682851,1.0
