Id,Label
363443,ALEX
364178,BENJAMIN
366922,BOBBIE
367308,BRINGSLY
362801,CHESS PLAYER
367597,COP
362940,DART PLAYER
362483,DAVID
366249,DERELICT #1
366252,DERELICT #2
366264,DERELICT #3
362610,DISSOLVE
363489,DR HIRSCH
366827,DRIVER
364690,FATHER
365970,HARRY
362471,JACK
367398,JUDITH
366528,LITTLE BOY
363818,LT VILLIERS
365956,MAN
363455,MISS GALLAGHER
366575,MOTHER
363631,MR COLLINS
364139,MRS HOBBS
367021,ONLOOKER
364225,ORDERLY
363808,SECRETARY
367208,TICKET LADY
362466,TRUCK DRIVER
362718,WOMAN
