Source,Target,Weight
2994537,2992486,1.0
2994537,2992500,1.0
2994537,2992988,1.0
2994537,2992538,1.0
2994537,2994742,1.0
2994537,2992198,1.0
2999021,2992538,1.0
2999021,2997178,1.0
2999021,2998556,1.0
2999021,2998667,2.0
2999021,2996481,1.0
2999021,2998814,1.0
2996885,2999625,1.0
2996885,2992538,1.0
2996885,2996760,3.0
2996885,2995318,1.0
2996885,2999608,1.0
2996885,2998556,1.0
2996885,2998667,1.0
2996885,2997919,1.0
2996242,2995931,1.0
2996242,2996313,1.0
2996242,2992538,1.0
2996242,2996466,1.0
2996242,2996481,1.0
2992709,2999021,2.0
2992709,2996885,1.0
2992709,2995165,1.0
2992709,2996242,1.0
2992709,2995931,1.0
2992709,2993753,1.0
2992709,2996313,1.0
2992709,2997056,2.0
2992709,2992988,2.0
2992709,2996760,1.0
2992709,2997178,3.0
2992709,2994504,1.0
2992709,2995119,1.0
2992709,2998667,4.0
2992709,2996466,1.0
2992709,2998349,1.0
2992709,2998814,1.0
2992709,2995841,1.0
2992709,2992794,1.0
2995931,2996466,1.0
2995931,2996481,1.0
2992486,2996885,2.0
2992486,2992709,3.0
2992486,2993753,5.0
2992486,2997596,1.0
2992486,2992988,3.0
2992486,2992538,3.0
2992486,3004093,1.0
2992486,2994742,1.0
2992486,2992198,8.0
2992486,3000711,1.0
2992486,2996628,1.0
2992486,2996481,1.0
2992486,2997933,1.0
2992486,2997919,1.0
2992486,2995490,1.0
2999625,2997919,1.0
2997385,2992486,1.0
2997985,2996885,1.0
2997985,2992486,1.0
2997985,3004093,1.0
2993753,2992538,1.0
2996313,2995931,1.0
2996313,2992538,1.0
2996313,2996466,1.0
2996313,2996481,1.0
3000839,3000849,1.0
3000839,2997933,1.0
2992500,2992486,2.0
2992500,2992988,1.0
2992500,2992538,1.0
2992500,2994742,1.0
2992500,2992198,1.0
2997056,2999021,1.0
2997056,2996885,1.0
2997056,2996760,1.0
2997056,2997178,2.0
2997056,2992198,2.0
2997056,2996481,2.0
2997056,2998814,1.0
2992988,2996885,1.0
2992988,2993753,1.0
2992988,2992538,2.0
2992988,2994742,1.0
2992988,2999902,1.0
2992667,2992486,1.0
2992667,2992988,1.0
2992667,2992198,1.0
2992538,2992709,7.0
2992538,2995931,2.0
2992538,2997056,1.0
2992538,2998556,1.0
2992538,2998667,1.0
2992538,2996466,1.0
2992538,2992842,1.0
2996614,2996885,1.0
2996614,2992486,1.0
2996614,2992988,1.0
2996614,2996760,1.0
2996614,2996628,1.0
2996760,2992486,3.0
2996760,2999625,1.0
2996760,2997985,1.0
2996760,2992988,1.0
2996760,2992538,1.0
2996760,2995318,3.0
2996760,2998556,1.0
2996760,2998667,1.0
2996760,2994900,1.0
2996760,2997919,2.0
2995318,2992486,2.0
2995318,2997985,1.0
2997178,2992538,1.0
2997178,2998556,1.0
2997178,2996481,2.0
2997178,2998814,1.0
2999608,2999625,1.0
2999608,2996760,1.0
2999608,2997919,1.0
2998556,2992709,2.0
2998556,2997056,2.0
2998556,2996481,3.0
2998556,2998814,2.0
2992194,2992709,2.0
2992194,2992486,1.0
2992194,2992988,1.0
2992194,2992667,1.0
2992194,2992538,1.0
2992194,2992842,1.0
2994504,2992486,1.0
2995119,2995165,1.0
2995119,2992198,1.0
3004093,2996885,2.0
3004093,2996760,1.0
3004093,2995318,1.0
2994742,2992538,1.0
2995257,2992709,1.0
2999902,2992486,1.0
2999902,2993753,1.0
2998667,2997056,2.0
2998667,2997178,1.0
2998667,2998556,4.0
2998667,2996481,4.0
2998667,2998814,1.0
2996466,2996481,1.0
2992842,2992709,1.0
2992842,2992486,1.0
2992842,2992198,4.0
2992198,2999021,2.0
2992198,2996885,2.0
2992198,2995165,1.0
2992198,2996242,1.0
2992198,2992709,12.0
2992198,2995931,2.0
2992198,2993753,2.0
2992198,2996313,1.0
2992198,2993516,1.0
2992198,2992988,2.0
2992198,2992538,10.0
2992198,2996760,2.0
2992198,2997178,3.0
2992198,2998556,5.0
2992198,2992194,4.0
2992198,2994504,1.0
2992198,2994742,1.0
2992198,2995257,1.0
2992198,2998667,5.0
2992198,2996466,1.0
2992198,2994900,1.0
2992198,2998814,2.0
2992198,2995841,1.0
2992198,2992794,1.0
3000711,2993753,1.0
2994900,2996885,1.0
2994900,2992486,2.0
2994900,2997985,1.0
2994900,2995318,1.0
2994900,3004093,1.0
2996628,2996885,1.0
2996628,2992988,1.0
2996628,2996760,1.0
2996481,2996885,1.0
2996481,2995165,1.0
2996481,2992709,5.0
2996481,2993753,1.0
2996481,2992538,3.0
2996481,2996760,1.0
2996481,2995119,1.0
2996481,2992842,1.0
2996481,2992198,10.0
2996481,2998814,1.0
2998349,2996885,1.0
2998349,2997056,1.0
2998349,2996760,1.0
2998349,2998556,1.0
2998349,2998667,1.0
2998349,2992198,1.0
2998349,2996481,1.0
2997933,2996760,1.0
2997933,3000849,1.0
2997933,2999130,1.0
2998814,2992538,1.0
2995841,2996242,1.0
2995841,2995931,2.0
2995841,2996313,1.0
2995841,2992538,2.0
2995841,2996466,1.0
2995841,2996481,1.0
2999130,2996760,1.0
2997919,2997933,1.0
2992794,2992486,1.0
2992794,2992194,1.0
2992794,2992842,1.0
2992794,2994900,1.0
2992794,2995490,1.0
2995490,2994900,1.0
