Source,Target,Weight
41010,40822,1.0
41010,40771,1.0
41280,45395,1.0
41280,40822,3.0
41280,43565,1.0
41280,42108,3.0
41280,40771,11.0
41280,43541,2.0
41280,46347,1.0
41280,43341,1.0
41280,40910,3.0
41280,42079,1.0
41280,42252,2.0
45931,45944,1.0
45931,42108,1.0
45931,40910,1.0
40765,41280,2.0
40765,40805,2.0
40765,40822,3.0
40765,42108,1.0
40765,40832,2.0
40765,46347,1.0
40765,40910,1.0
40805,40771,3.0
40805,40832,1.0
40822,42593,1.0
40822,40805,1.0
40822,45508,1.0
40822,42246,1.0
40822,42189,1.0
40822,40771,15.0
40822,44183,1.0
40822,40832,1.0
40822,46347,1.0
40822,44994,1.0
40822,42079,2.0
40822,45195,1.0
42246,42256,1.0
42246,41338,1.0
42246,42283,1.0
42246,42252,1.0
45169,40822,1.0
45169,42108,1.0
45169,45195,1.0
42449,41280,2.0
42449,40822,1.0
42449,43565,1.0
42449,42108,1.0
42449,42420,3.0
42449,41338,3.0
42449,40771,3.0
42449,43541,1.0
42449,42417,5.0
42449,42252,2.0
41239,41280,1.0
42256,41338,1.0
45944,40822,1.0
45944,42108,1.0
45944,40771,1.0
45944,40910,1.0
42108,40822,7.0
42108,45508,1.0
42108,42246,1.0
42108,42189,1.0
42108,44183,1.0
42108,46347,1.0
42108,45195,1.0
42420,41280,1.0
42420,43565,1.0
42420,41338,2.0
42420,43541,1.0
42420,42417,4.0
42420,42252,2.0
41338,41280,4.0
41338,40765,1.0
41338,40822,2.0
41338,43565,1.0
41338,42108,2.0
41338,40771,9.0
41338,42283,1.0
41338,43541,1.0
41338,46347,1.0
41338,42252,3.0
40771,42593,1.0
40771,45395,1.0
40771,40765,5.0
40771,42246,1.0
40771,43565,1.0
40771,41239,2.0
40771,42256,1.0
40771,42108,3.0
40771,42420,3.0
40771,42189,1.0
40771,44183,1.0
40771,42283,1.0
40771,43094,1.0
40771,43541,1.0
40771,40832,2.0
40771,46347,1.0
40771,41120,1.0
40771,44994,1.0
40771,42417,4.0
40771,43341,1.0
40771,42079,2.0
42283,42256,1.0
42283,42252,1.0
43541,43565,1.0
42417,41280,2.0
42417,40822,1.0
42417,43565,1.0
42417,42108,1.0
42417,41338,3.0
42417,43541,1.0
42417,42252,2.0
40910,40805,2.0
40910,40822,3.0
40910,42449,1.0
40910,42108,3.0
40910,41338,1.0
40910,40771,9.0
40910,42417,1.0
42079,42108,1.0
42079,40910,1.0
42252,40765,1.0
42252,42256,2.0
42252,40771,4.0
41109,40771,1.0
41109,41120,1.0
