Source,Target,Weight
4704330,4704299,2.0
4704330,4706569,1.0
4704330,4706594,1.0
4704330,4703185,1.0
4704330,4705256,1.0
4704330,4703192,4.0
4705966,4703151,1.0
4704299,4703145,1.0
4705237,4705296,1.0
4705237,4705256,1.0
4705237,4705247,1.0
4706353,4705633,1.0
4705231,4705237,1.0
4705231,4705296,1.0
4705231,4705256,1.0
4705231,4705247,1.0
4706735,4705633,1.0
4706634,4703145,1.0
4706639,4706634,2.0
4706569,4706594,1.0
4706569,4705256,1.0
4706569,4703192,1.0
4706594,4705256,1.0
4708344,4703151,1.0
4708344,4705633,1.0
4703248,4703201,7.0
4703248,4703811,4.0
4703248,4703185,9.0
4703248,4703192,5.0
4703248,4703288,1.0
4703248,4705633,3.0
4703248,4703145,1.0
4703248,4706269,1.0
4704877,4703192,1.0
4703201,4704039,1.0
4703201,4703811,3.0
4703201,4703185,6.0
4703201,4703192,7.0
4703201,4703288,1.0
4703201,4703145,1.0
4703201,4706269,1.0
4705564,4705569,1.0
4704039,4703248,1.0
4704039,4703811,1.0
4704039,4703185,1.0
4703811,4703185,5.0
4703811,4703145,1.0
4703811,4706269,1.0
4703185,4703288,1.0
4703185,4705633,6.0
4703185,4703145,1.0
4703185,4706269,1.0
4705256,4703201,1.0
4705256,4705296,1.0
4705256,4703185,1.0
4705256,4703151,1.0
4705256,4703294,1.0
4703151,4703248,2.0
4703151,4703201,1.0
4703151,4703185,3.0
4703151,4703192,2.0
4703151,4705633,5.0
4703151,4703294,4.0
4703151,4703145,5.0
4705558,4705569,1.0
4705558,4705564,1.0
4703192,4704299,2.0
4703192,4705569,1.0
4703192,4706594,1.0
4703192,4704039,3.0
4703192,4703811,5.0
4703192,4703185,9.0
4703192,4704121,1.0
4703192,4705256,1.0
4703192,4705051,3.0
4703192,4703288,1.0
4703192,4706269,1.0
4705611,4705569,1.0
4705611,4703192,1.0
4705611,4705051,1.0
4705611,4705633,1.0
4705051,4704330,1.0
4705051,4705569,2.0
4705051,4705564,1.0
4705051,4705558,1.0
4705051,4705633,1.0
4705527,4705569,1.0
4705527,4705564,1.0
4705527,4705558,1.0
4705527,4705051,1.0
4703288,4703811,1.0
4703288,4703151,6.0
4703288,4706269,1.0
4705633,4705569,1.0
4705633,4703201,2.0
4705633,4703192,1.0
4705633,4703288,5.0
4705633,4703145,2.0
4705633,4707889,1.0
4705247,4705296,1.0
4705247,4705256,1.0
4703294,4703248,2.0
4703294,4703201,2.0
4703294,4704039,1.0
4703294,4703811,1.0
4703294,4703185,2.0
4703294,4703192,2.0
4703294,4703288,4.0
4703145,4706735,1.0
4703145,4703192,2.0
4703145,4703288,1.0
4703145,4703294,1.0
4707889,4707892,2.0
