Source,Target,Weight
4064384,4068023,1.0
4064384,4064903,1.0
4064384,4066827,1.0
4064384,4065065,4.0
4064384,4064816,2.0
4064384,4064655,4.0
4064384,4066908,1.0
4064384,4065041,1.0
4064384,4068133,1.0
4064384,4064764,3.0
4064384,4064734,1.0
4064384,4065033,2.0
4064724,4064384,1.0
4064724,4064903,1.0
4064724,4064816,1.0
4064724,4064764,1.0
4064724,4064734,1.0
4066770,4064384,2.0
4066770,4066773,1.0
4066770,4067786,2.0
4066770,4066804,1.0
4066770,4066862,1.0
4066827,4066770,2.0
4066827,4066780,3.0
4066827,4066908,1.0
4066827,4066862,1.0
4065065,4064816,1.0
4065065,4064545,2.0
4065065,4065677,1.0
4065065,4065372,1.0
4065065,4065033,1.0
4069111,4064384,1.0
4069111,4066827,1.0
4065059,4064384,1.0
4065059,4065065,1.0
4068347,4064384,1.0
4068347,4064545,1.0
4068347,4066908,1.0
4066773,4066780,1.0
4066773,4066804,1.0
4064816,4064903,1.0
4064816,4065372,1.0
4064929,4064384,1.0
4064929,4065065,1.0
4064929,4064816,1.0
4064929,4064764,1.0
4064929,4065372,1.0
4064655,4065065,1.0
4064655,4064764,1.0
4064655,4065677,2.0
4064655,4065033,2.0
4066780,4064384,3.0
4066780,4066770,2.0
4066780,4066804,1.0
4066780,4066862,1.0
4064545,4064384,11.0
4064545,4064655,1.0
4064545,4068862,1.0
4064545,4065677,2.0
4064545,4065033,1.0
4066908,4064545,1.0
4065239,4064384,2.0
4065239,4064545,1.0
4067786,4064384,2.0
4067786,4064545,1.0
4066804,4067786,1.0
4064387,4064384,1.0
4065544,4064384,1.0
4067585,4064384,1.0
4067585,4064545,1.0
4064764,4064903,1.0
4064764,4065065,1.0
4064764,4064816,2.0
4064764,4065372,1.0
4064734,4064903,1.0
4064734,4064816,1.0
4064734,4064764,1.0
4065677,4064384,4.0
4065677,4065033,1.0
4065259,4064384,1.0
4065259,4065065,1.0
4065259,4064816,1.0
4065259,4064929,1.0
4065259,4064764,1.0
4065259,4065372,1.0
4065372,4064384,1.0
4066894,4066827,1.0
4066894,4066908,1.0
4065033,4066827,1.0
4065033,4066780,1.0
4065033,4065041,1.0
4065033,4064764,1.0
