Source,Target,Weight
1500641,1497863,2.0
1500641,1500279,1.0
1500641,1500645,1.0
1500641,1502185,1.0
1500641,1497928,3.0
1500488,1497866,1.0
1500100,1497863,1.0
1500100,1500526,1.0
1500100,1500781,1.0
1500100,1497928,1.0
1500100,1497866,1.0
1497863,1497871,1.0
1497863,1500645,2.0
1497863,1504002,1.0
1497863,1500526,1.0
1497863,1500196,1.0
1497863,1498442,1.0
1497863,1498405,1.0
1497863,1500486,2.0
1497863,1504944,1.0
1497863,1501888,1.0
1497863,1499321,2.0
1497863,1500054,1.0
1497863,1501407,2.0
1497863,1499162,1.0
1497863,1497928,17.0
1500279,1501804,1.0
1500279,1499187,2.0
1500279,1504778,1.0
1500279,1504750,1.0
1500279,1499154,1.0
1500279,1504146,1.0
1500279,1500486,1.0
1500279,1500781,1.0
1500279,1500054,2.0
1500279,1498702,2.0
1500279,1499162,1.0
1500279,1497928,1.0
1500279,1504770,1.0
1500279,1497866,3.0
1499932,1500488,1.0
1499932,1500526,1.0
1499932,1500482,1.0
1499932,1499154,1.0
1499932,1500486,1.0
1499932,1497928,3.0
1499932,1497866,2.0
1500645,1500279,2.0
1500645,1499932,1.0
1500645,1502055,1.0
1500645,1501804,1.0
1500645,1499187,1.0
1500645,1498702,1.0
1500645,1499162,1.0
1500645,1497928,2.0
1504836,1497863,1.0
1504836,1500054,1.0
1504836,1499162,1.0
1504836,1497928,1.0
1504002,1500279,1.0
1504002,1500482,1.0
1504002,1499154,1.0
1504002,1500486,1.0
1504002,1501881,1.0
1504002,1501407,1.0
1502055,1501881,1.0
1501188,1502149,1.0
1501188,1503283,1.0
1499325,1497863,3.0
1499325,1499321,2.0
1499325,1497928,3.0
1499325,1497866,2.0
1498472,1497928,2.0
1500482,1500641,1.0
1500482,1500488,1.0
1500482,1500279,1.0
1500482,1499154,1.0
1500482,1500486,2.0
1500482,1501881,2.0
1500482,1497928,2.0
1500482,1497866,2.0
1501804,1497863,2.0
1501804,1504836,1.0
1501804,1502055,1.0
1501804,1500054,1.0
1501804,1499162,4.0
1501804,1497928,8.0
1501990,1497928,1.0
1498442,1497928,1.0
1498442,1497866,1.0
1499158,1500054,1.0
1499158,1498702,1.0
1499187,1500100,1.0
1499187,1497863,1.0
1499187,1499932,1.0
1499187,1504002,1.0
1499187,1500482,1.0
1499187,1501804,1.0
1499187,1504778,1.0
1499187,1504750,1.0
1499187,1499154,1.0
1499187,1504146,1.0
1499187,1500486,2.0
1499187,1501888,1.0
1499187,1501881,2.0
1499187,1500054,1.0
1499187,1501407,2.0
1499187,1497928,7.0
1499187,1504770,1.0
1499537,1497928,1.0
1504750,1504778,1.0
1504750,1500486,1.0
1504750,1500054,1.0
1504750,1504770,1.0
1499154,1499158,2.0
1499154,1500054,1.0
1499154,1499162,2.0
1499154,1497928,1.0
1499154,1500029,1.0
1504146,1501804,1.0
1504146,1504778,1.0
1504146,1504750,1.0
1504146,1500486,1.0
