Id,Label
2994537,ANNOUNCER
2999021,ANOLETE
2996885,AUFMAN
2995165,BRIAN
2996242,BRUISER
2992709,CHARLIE
2995931,CHIHUAHUA
2992486,CHOLO
2999625,CLIFF
2997385,DEPOT GUARD
2997985,ECURITY GUARD
2993753,FOXY
2996313,GOON
3000839,GREASY MAN
2992500,GUERILLA
2993516,GUERILLA #2
2997596,GUNNER
2997056,HARLIE
2992988,HOLO
2992667,IKE
2992538,ILEY
2996614,ILHOUETTED MAN
2996760,KAUFMAN
2995318,KNIPP
2997178,LACK
2999608,LIFF
2998556,MANOLETE
2992194,MIKE
2994504,MOUSE
2995119,MULLIGAN
3004093,NIPP
2994742,NNOUNCER
2995257,OBO
2999902,OXY
2998667,PILLSBURY
2996466,POLICEMAN
2992842,PRETTY BOY
2992198,RILEY
3000711,SCAR
2994900,SECURITY GUARD
2996628,SILHOUETTED MAN
2996481,SLACK
2998349,SOLDIER
3000849,STYLES
2997933,SUTHERLAND
2998814,TEAHOUSE
2995841,TOUT
2999130,TROOPER
2997919,UTHERLAND
2992794,WOMAN
2995490,YOUNG MAN
