Source,Target,Weight
3030127,3030163,1.0
3030127,3030845,8.0
3030127,3035534,2.0
3030127,3032058,12.0
3030127,3032138,6.0
3030127,3031328,1.0
3030127,3031104,3.0
3034246,3030127,2.0
3034246,3031069,1.0
3034246,3030577,3.0
3034246,3034259,1.0
3030206,3030127,6.0
3030206,3034246,1.0
3030206,3031069,1.0
3030206,3030189,2.0
3030206,3030845,2.0
3030206,3032058,2.0
3034458,3030127,1.0
3030163,3030206,1.0
3030163,3030189,1.0
3031069,3030127,2.0
3031069,3032058,1.0
3031069,3030577,3.0
3030189,3030127,7.0
3030189,3030577,2.0
3030189,3031328,1.0
3030845,3030189,3.0
3030845,3032058,1.0
3030845,3030577,1.0
3030845,3032454,1.0
3030845,3031328,1.0
3035534,3032058,1.0
3032611,3030127,8.0
3032058,3032611,9.0
3030577,3030127,6.0
3030577,3030206,4.0
3030577,3032611,1.0
3030577,3032058,1.0
3032454,3030127,4.0
3032454,3035534,1.0
3032207,3032058,1.0
3030087,3030127,1.0
3030087,3030206,1.0
3030087,3030163,1.0
3030087,3030189,1.0
3032138,3032454,1.0
3031126,3030127,2.0
3031126,3030206,1.0
3031126,3030189,1.0
3031126,3030845,3.0
3031126,3031104,2.0
3031104,3030206,1.0
3031104,3030189,1.0
3031104,3030845,2.0
