Id,Label
1748812,AGENT
1748940,ANNOUNCER
1746384,BIG RED
1747234,CAMERAMAN
1746497,CARLA
1747878,CHINK
1747185,COWGIRL
1745710,COWGIRL INTERLUDE
1746375,DEBBIE
1745741,DELORES
1749015,DONNA
1747700,DOWN THE HALL
1745494,DR DREYFUS
1746992,DRIVER
1746415,ELAINE
1747538,GLORIA
1746422,HEATHER
1746552,HOWARD
1746325,JELLY
1746454,JULIAN
1747527,KYM
1745562,MADAME ZOE
1747289,MAID
1745809,MAN
1746472,MARIE
1746368,MARY
1747039,MISS ADRIAN
1745504,MRS HANKSHAW
1747275,NEARBY
1748653,NEWS REPORTER
1747007,OTHER MAN
1746448,RUPERT
1748558,SHERIFF
1745616,SISSY
1748299,SURGEON
1745934,THE COUNTESS
1746985,WOMAN
