Source,Target,Weight
2165289,2165310,1.0
2165289,2165302,1.0
2164484,2162888,2.0
2164484,2163624,1.0
2164484,2164465,2.0
2164484,2164663,1.0
2165117,2165142,1.0
2165117,2167392,1.0
2162888,2165117,1.0
2162888,2163652,1.0
2162888,2168852,1.0
2162888,2162738,1.0
2162888,2163624,4.0
2162888,2165108,1.0
2162888,2162742,5.0
2162888,2163046,1.0
2162888,2168820,1.0
2162888,2166290,1.0
2162888,2167392,1.0
2162888,2166980,1.0
2162888,2164663,1.0
2162888,2162763,20.0
2162888,2166216,1.0
2162738,2165117,1.0
2162738,2165108,1.0
2162738,2162742,1.0
2162738,2163046,1.0
2162738,2167392,1.0
2164032,2162763,1.0
2163624,2163652,1.0
2165108,2165289,1.0
2165108,2165117,2.0
2165108,2165310,1.0
2165108,2165142,1.0
2165108,2167392,1.0
2165108,2165302,1.0
2165202,2165289,1.0
2165202,2165310,1.0
2165202,2165108,1.0
2165202,2165302,1.0
2165202,2162763,1.0
2162742,2163046,2.0
2164465,2162888,4.0
2164465,2163624,2.0
2163046,2165117,1.0
2163046,2165108,1.0
2163046,2167392,1.0
2163046,2162763,4.0
2168820,2168852,1.0
2166980,2165117,1.0
2166980,2162738,1.0
2166980,2165108,1.0
2166980,2163046,1.0
2166980,2167392,1.0
2162838,2162763,1.0
2164663,2164465,1.0
2165302,2165310,1.0
2162763,2165289,1.0
2162763,2166830,1.0
2162763,2165117,1.0
2162763,2165310,1.0
2162763,2162738,1.0
2162763,2163624,1.0
2162763,2165108,2.0
2162763,2162742,8.0
2162763,2165142,1.0
2162763,2167392,1.0
2162763,2166980,1.0
2162763,2165302,1.0
2162763,2166216,1.0
