Source,Target,Weight
2461585,2461594,1.0
2461585,2461590,1.0
2459101,2459142,1.0
2460447,2458137,1.0
2458137,2459101,1.0
2458137,2459159,2.0
2458137,2457844,2.0
2458137,2460999,1.0
2458137,2458111,1.0
2458137,2459142,1.0
2458137,2458633,1.0
2458137,2458646,1.0
2458137,2458625,1.0
2458137,2459519,1.0
2461704,2461594,1.0
2461704,2461713,1.0
2457841,2457844,1.0
2457841,2458041,1.0
2462998,2458137,1.0
2457784,2458724,1.0
2457784,2457790,2.0
2457784,2458419,1.0
2457784,2458741,1.0
2457784,2460863,1.0
2457784,2462290,1.0
2458833,2458137,1.0
2458724,2458741,1.0
2461594,2457844,1.0
2461594,2461670,1.0
2461594,2461615,1.0
2461594,2461642,1.0
2458100,2458137,1.0
2458100,2458111,1.0
2458100,2458133,1.0
2457888,2457784,1.0
2461590,2461594,1.0
2460198,2458012,2.0
2462242,2457784,1.0
2462242,2462290,1.0
2458986,2458137,1.0
2457844,2457780,1.0
2457844,2459616,1.0
2457844,2458012,4.0
2457844,2457865,1.0
2457844,2459519,1.0
2461713,2461594,1.0
2460141,2458137,1.0
2462815,2457784,1.0
2462815,2462844,1.0
2458111,2459159,1.0
2458111,2461528,1.0
2458111,2458133,1.0
2458111,2458012,2.0
2457780,2457784,2.0
2457780,2457790,2.0
2457780,2458377,1.0
2460079,2458137,1.0
2460079,2462074,1.0
2460079,2458012,4.0
2460079,2462417,1.0
2461690,2461594,2.0
2461690,2457844,1.0
2459084,2459101,1.0
2459084,2458137,1.0
2459084,2459142,1.0
2459084,2461447,1.0
2459084,2459090,1.0
2458009,2458022,1.0
2458009,2458012,1.0
2458133,2458137,1.0
2462844,2457784,1.0
2461040,2458137,1.0
2461040,2460999,1.0
2458633,2458646,1.0
2459616,2457784,5.0
2459616,2460863,1.0
2461670,2461690,1.0
2461615,2461690,1.0
2461615,2461670,1.0
2461615,2461642,1.0
2461642,2461690,1.0
2461642,2461670,1.0
2461605,2461594,1.0
2461605,2461690,1.0
2461605,2461670,1.0
2461605,2461615,1.0
2461605,2461642,1.0
2458625,2457844,1.0
2458625,2457780,1.0
2458625,2458633,1.0
2458625,2458646,1.0
2458012,2458137,10.0
2458012,2462074,1.0
2458012,2458900,1.0
2458012,2458022,1.0
2458012,2459519,1.0
2459090,2459101,1.0
2459090,2458137,1.0
2459090,2459142,1.0
2457865,2457841,1.0
2457865,2457784,1.0
2457865,2457888,1.0
2457865,2458041,1.0
2457865,2457868,1.0
2457868,2457784,1.0
2457868,2457888,1.0
2462417,2458137,1.0
2462417,2458012,1.0
