Id,Label
3376199,ALEX
3377159,ALEX'S OFFICE
3376121,ALLEY
3379988,ANNOUNCER
3377556,ARTIST
3375784,ATASHA
3375721,AX
3380215,BACK ROOM
3380236,BALLROOM
3376478,BB
3375189,BEDROOM
3376853,BRAVURA
3376801,CHRISTA
3378870,COLVIN
3379390,COLVIN'S OFFICE
3378937,CONDUCTOR
3381414,CORRIDOR
3375419,DETECTIVE
3376238,DETECTIVE #1
3377146,DETECTIVE #2
3375276,DOUG
3377033,ELEVATOR
3381258,ENTRY HALL
3381422,GREAT HALL
3379647,GUARD
3380166,GUARD #1
3375425,HALLWAY
3379196,HOMICIDE COP
3377093,HOMICIDE OFFICE
3380476,JOE SALLE
3378409,JUNKIE
3375580,KITCHEN
3376265,LEX
3375585,LIVING ROOM
3379637,LOBBY
3380035,LUPINO
3375250,MAN #1
3375130,MAX
3381472,MAX'S HALLUCINATION
3375831,MONA
3375790,NATASHA
3381312,NICOLE HORNE
3380004,NNOUNCER
3379012,NT RAGNA ROK - NIGHT
3375650,OICE
3379628,OLVIN
3377372,ONA
3377440,OWEN
3375294,PAWNSHOP
3381187,RANKING OFFICER
3378557,RAVURA
3379387,RECEPTIONIST
3380921,RIVER
3375416,SGT ADAMS
3378352,STAIRWAY
3379795,STAIRWELL
3377564,TATTOO ARTIST
3375659,TREVOR
3380231,UPINO
3378105,VINNIE
3380143,XT RAGNA ROK - NIGHT
3378749,YOUNG COP
