Source,Target,Weight
3660278,3657344,2.0
3660278,3657689,3.0
3660278,3658609,3.0
3660278,3660372,1.0
3660278,3657444,1.0
3660278,3659146,3.0
3660278,3657711,1.0
3657344,3659383,2.0
3657344,3657545,2.0
3657344,3660711,1.0
3657344,3658609,5.0
3657344,3658437,4.0
3657344,3657444,7.0
3657344,3659146,6.0
3657344,3658824,1.0
3657344,3658003,3.0
3659168,3659383,1.0
3659168,3657344,1.0
3657689,3659383,2.0
3657689,3657344,10.0
3657689,3659168,1.0
3657689,3657545,1.0
3657689,3661109,1.0
3657689,3658437,2.0
3657689,3657444,3.0
3657689,3659146,14.0
3657689,3658003,2.0
3657545,3658283,3.0
3657545,3657444,2.0
3658283,3657689,1.0
3658283,3657444,1.0
3658283,3657711,1.0
3660369,3660372,1.0
3660711,3657689,1.0
3660711,3658609,2.0
3660711,3659146,1.0
3661109,3658609,1.0
3661109,3658437,1.0
3661109,3660372,1.0
3658609,3657689,6.0
3658609,3657545,1.0
3658609,3660369,1.0
3658609,3658437,3.0
3658609,3657444,1.0
3658609,3659146,5.0
3658437,3659383,1.0
3658437,3660369,1.0
3658437,3660711,1.0
3658437,3659146,2.0
3660372,3657344,2.0
3660372,3657689,3.0
3660372,3660711,1.0
3660372,3658609,3.0
3660372,3658437,2.0
3660372,3657444,1.0
3660372,3659146,3.0
3660372,3657711,1.0
3657863,3657344,2.0
3657863,3657689,1.0
3657863,3659146,1.0
3657863,3658003,2.0
3657863,3657711,2.0
3657444,3660161,1.0
3657444,3657863,3.0
3657444,3659146,2.0
3659860,3657344,1.0
3659860,3657689,1.0
3659860,3659146,1.0
3659146,3659383,2.0
3659146,3659168,1.0
3659146,3657545,1.0
3659146,3661109,1.0
3658003,3657444,2.0
3658003,3659146,2.0
3658003,3658824,1.0
3657711,3657344,7.0
3657711,3657689,5.0
3657711,3657545,1.0
3657711,3658609,1.0
3657711,3657444,5.0
3657711,3659146,2.0
3657711,3658824,1.0
3657711,3658003,7.0
