Source,Target,Weight
359263,357683,1.0
357461,357467,1.0
357461,357473,1.0
360809,360786,1.0
358246,358385,1.0
358246,357467,4.0
358246,358258,1.0
361767,357683,1.0
361666,357467,1.0
361666,357473,1.0
361748,361767,1.0
361748,357467,1.0
361748,357473,1.0
359245,359263,1.0
359245,357467,1.0
357467,359263,2.0
357467,361825,1.0
357467,360809,1.0
357467,358092,1.0
357467,359162,1.0
357467,361767,2.0
357467,357772,1.0
357467,358385,1.0
357467,358953,1.0
357467,357993,1.0
357467,358709,1.0
357467,361377,1.0
357467,358078,2.0
357467,359785,1.0
357467,357925,1.0
357473,360809,1.0
357473,361767,1.0
357473,357467,19.0
357473,360786,6.0
357473,360747,5.0
357473,359469,1.0
357473,357882,2.0
357473,359785,1.0
357473,361246,1.0
360786,357467,7.0
360786,357683,1.0
360786,360770,2.0
360924,357467,3.0
360924,357473,3.0
360924,360786,2.0
360924,360747,2.0
360924,357683,1.0
360747,360809,1.0
360747,357467,3.0
360747,360786,6.0
358222,358246,1.0
358222,358953,1.0
358222,357467,2.0
358222,358258,2.0
358078,358092,1.0
358058,357467,1.0
358258,358953,1.0
358258,357467,1.0
357683,359162,1.0
357683,358246,4.0
357683,358385,1.0
357683,357467,11.0
357683,357473,2.0
357683,360747,1.0
357683,358222,1.0
357683,358058,1.0
357683,358258,1.0
357683,357882,2.0
357900,357467,1.0
357900,357925,1.0
360770,360809,1.0
360770,357467,3.0
360770,357473,2.0
360770,360924,1.0
360770,360747,2.0
361742,361767,1.0
361742,361748,1.0
361742,357473,1.0
357882,359162,1.0
357882,357467,4.0
357882,358078,1.0
361246,357467,1.0
