Source,Target,Weight
2159685,2154839,1.0
2159685,2159752,1.0
2152750,2152930,2.0
2152750,2153089,2.0
2159495,2159510,1.0
2159941,2158833,1.0
2159941,2159963,1.0
2154839,2155010,1.0
2154839,2154533,1.0
2154839,2159752,2.0
2154839,2152732,1.0
2154839,2152396,1.0
2152930,2152769,2.0
2152930,2153323,2.0
2152930,2153089,2.0
2152930,2152996,1.0
2158199,2158207,1.0
2157584,2157625,1.0
2157584,2152857,2.0
2157584,2153089,2.0
2157584,2153471,1.0
2157195,2153471,1.0
2152849,2152750,1.0
2152849,2152930,1.0
2152849,2152857,4.0
2152849,2152769,2.0
2152849,2153323,1.0
2152849,2152996,1.0
2152849,2152886,1.0
2152661,2153089,1.0
2152661,2156621,1.0
2152661,2156583,1.0
2162455,2153089,1.0
2162455,2162458,1.0
2152442,2154552,1.0
2154533,2154424,1.0
2154533,2154779,1.0
2154533,2154552,3.0
2154533,2152396,1.0
2162117,2162136,1.0
2162117,2162126,1.0
2162117,2156621,1.0
2160783,2160804,2.0
2160783,2152996,3.0
2153104,2152857,1.0
2153104,2153116,1.0
2152857,2152750,1.0
2152857,2152930,3.0
2152857,2153258,1.0
2152857,2152769,2.0
2152857,2153323,1.0
2152857,2153089,6.0
2152857,2153116,1.0
2152857,2152996,1.0
2153084,2153104,1.0
2153084,2152857,1.0
2153084,2153089,1.0
2153084,2153116,1.0
2154424,2154839,1.0
2154424,2159752,1.0
2154424,2159597,1.0
2154424,2154779,1.0
2154424,2154552,4.0
2153258,2152930,2.0
2153258,2157195,1.0
2153258,2162455,2.0
2153258,2160783,2.0
2153258,2160804,1.0
2153258,2153640,1.0
2153258,2152802,1.0
2153258,2153323,1.0
2153258,2153089,9.0
2153258,2162458,1.0
2153258,2153116,3.0
2153258,2152996,2.0
2153258,2154179,2.0
2157320,2153258,1.0
2157320,2154179,1.0
2154495,2154533,1.0
2154495,2154424,1.0
2159682,2159685,1.0
2159682,2154839,1.0
2159682,2159752,1.0
2152769,2152750,2.0
2152769,2153258,2.0
2152769,2156335,1.0
2152769,2153089,5.0
2152769,2152812,1.0
2152769,2152774,1.0
2154294,2153116,1.0
2157536,2157584,1.0
2157536,2157625,1.0
2153640,2153089,1.0
2152802,2152750,1.0
2152802,2152930,1.0
2152802,2152849,1.0
2152802,2162455,1.0
2152802,2152857,1.0
2152802,2152769,1.0
2152802,2153323,1.0
2152802,2152812,1.0
2152802,2152996,1.0
2156335,2157740,1.0
2156335,2153258,1.0
2156335,2153089,1.0
2156335,2156621,1.0
2153323,2152750,1.0
2153323,2152769,1.0
2153323,2153089,1.0
2153323,2152996,1.0
2153089,2157740,1.0
2153089,2157517,1.0
2153089,2152849,2.0
2153089,2153104,1.0
2153089,2157536,1.0
2153089,2152802,2.0
2153089,2154179,3.0
2153089,2156621,3.0
2153089,2153720,3.0
2153089,2160637,1.0
2153116,2152930,1.0
2153116,2157195,1.0
2153116,2153323,1.0
2153116,2153089,4.0
2153471,2152857,1.0
2153471,2153258,1.0
2153471,2152769,1.0
2153471,2153089,1.0
2157909,2153089,1.0
2157909,2154179,1.0
2152996,2152750,1.0
2152996,2158199,1.0
2152996,2160804,2.0
2152996,2152769,1.0
2152996,2153089,3.0
2152996,2153116,1.0
2152996,2158207,1.0
2152996,2152886,1.0
2152996,2156998,1.0
2152774,2152802,1.0
2152774,2152812,1.0
2159430,2153089,1.0
2158077,2153116,1.0
2156491,2153089,1.0
2152732,2152750,1.0
2156427,2152930,1.0
2156427,2153323,1.0
2158833,2157584,1.0
2158833,2152857,2.0
2158833,2153089,1.0
2158833,2153720,2.0
2162126,2162136,1.0
2159597,2154839,1.0
2159597,2159752,1.0
2154179,2152849,1.0
2154179,2152857,1.0
2154179,2152769,2.0
2156809,2158199,1.0
2156809,2152996,2.0
2156809,2158207,1.0
2156621,2157740,1.0
2156621,2157195,1.0
2156621,2162136,1.0
2156621,2153471,1.0
2156621,2162126,1.0
2156621,2156583,2.0
2157493,2157740,1.0
2157493,2157517,1.0
2157493,2156335,1.0
2157493,2153089,2.0
2157493,2156621,1.0
2153077,2153104,1.0
2153077,2152857,1.0
2153077,2153084,1.0
2153077,2153258,3.0
2153077,2153640,1.0
2153077,2153089,1.0
2153077,2153116,1.0
2159935,2159941,1.0
2159935,2158833,1.0
2159935,2159963,1.0
2153720,2157584,1.0
2153720,2152857,3.0
2153720,2153258,1.0
2153720,2153640,1.0
2159963,2153258,2.0
2159963,2153089,1.0
2159963,2152996,1.0
2159963,2158833,1.0
2159963,2160637,1.0
2158788,2152857,1.0
2158788,2153720,1.0
2160637,2153258,1.0
2154779,2154552,1.0
2162430,2162455,2.0
2162430,2153258,2.0
2162430,2152802,1.0
2162430,2153089,1.0
2162430,2162458,1.0
2162430,2155006,1.0
2156583,2153089,2.0
2155006,2155010,1.0
2155006,2154839,2.0
2155006,2162455,1.0
2155006,2154533,1.0
2155006,2153258,1.0
2155006,2162458,1.0
2155006,2154552,2.0
2157283,2153258,1.0
2160409,2152442,1.0
2160409,2154552,1.0
2159469,2154552,1.0
2154552,2159495,1.0
2154552,2154839,3.0
2154552,2159752,1.0
2154552,2159597,2.0
2154552,2159510,1.0
2152886,2152857,1.0
2152433,2152442,1.0
