ID,Title,IMDB_id,ReleaseDate,Characters,Edges
165,Broadcast News,tt0092699,1987,52,176
166,Broken Arrow,tt0115759,1996,59,195
167,Broken Embraces,tt0913425,2009,41,115
169,Bruce Almighty,tt0315327,2003,50,140
170,Buffy the Vampire Slayer,tt0118276,1997,41,203
171,Bull Durham,tt0094812,1988,35,159
173,Burlesque,tt1126591,2010,37,152
174,Burn After Reading,tt0887883,2008,35,75
175,The Butterfly Effect,tt0289879,2004,32,73
176,The Cable Guy,tt0115798,1996,37,105
177,Capote,tt0379725,2005,45,104
178,Casino,tt0112641,1995,109,326
179,Cast Away,tt0162222,2000,33,65
180,Catch Me If You Can,tt0264464,2002,82,162
182,The Cell,tt0209958,2000,24,59
183,Cellular,tt0337921,2004,48,138
184,Changeling,tt0824747,2008,59,145
185,Spin City,tt0115369,1996,31,92
186,Charade,tt0056923,1963,31,108
187,Charlie's Angels: Full Throttle,tt0305357,2003,28,80
189,Chasing Sleep,tt0221069,2000,17,40
190,Cherry Falls,tt0175526,2000,51,112
191,Chinatown,tt0071315,1974,50,125
192,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",tt0363771,2005,29,146
193,The Cider House Rules,tt0124315,1999,38,140
194,The Cincinnati Kid,tt0059037,1965,36,198
195,Cinema Paradiso,tt0095765,1988,40,100
197,Citizen Kane,tt0033467,1941,56,148
198,City of Joy,tt0103976,1992,44,143
199,Clash of the Titans,tt0800320,2010,27,86
200,Clerks.,tt0109445,1994,38,117
201,Cliffhanger,tt0106582,1993,23,78
204,Cobb,tt0109450,1994,41,109
205,Code of Silence,tt0088936,1985,41,105
206,Cold Mountain,tt0159365,2003,45,112
208,Collateral Damage,tt0233469,2002,42,97
209,Confessions of a Dangerous Mind,tt0270288,2002,69,135
210,Confidence,tt0310910,2003,25,81
211,Constantine,tt0360486,2005,24,44
212,The Cooler,tt0318374,2003,31,104
213,Copycat,tt0112722,1995,33,72
214,Coraline,tt0327597,2009,42,108
216,Cradle 2 the Grave,tt0306685,2003,36,117
217,Crank,tt0479884,2006,40,75
218,Crash,tt0375679,2004,15,25
220,Crime Spree,tt0310924,2003,43,152
221,"Crouching Tiger, Hidden Dragon",tt0190332,2000,32,92
222,Croupier,tt0159382,1998,32,69
223,The Crow: Salvation,tt0132910,2000,33,85
224,The Crow,tt0109506,1994,30,68
225,The Crow: City of Angels,tt0115986,1996,24,60
226,Cruel Intentions,tt0139134,1999,16,33
227,The Crying Game,tt0104036,1992,15,39
229,The Curious Case of Benjamin Button,tt0421715,2008,44,129
231,The Damned United,tt1226271,2009,37,84
232,Dances with Wolves,tt0099348,1990,29,73
234,Dark Star,tt0069945,1974,8,16
235,Darkman,tt0099365,1990,39,137
236,Date Night,tt1279935,2010,42,141
238,Day of the Dead,tt0088993,1985,35,86
239,The Day the Clown Cried,tt0068451,1972,39,151
240,The Day the Earth Stood Still,tt0043456,1951,33,104
241,Days of Heaven,tt0077405,1978,17,34
242,Dead Poets Society,tt0097165,1989,42,275
243,Death at a Funeral,tt0795368,2007,18,89
244,Death to Smoochy,tt0266452,2002,49,118
246,Deep Cover,tt0104073,1992,33,92
247,Deep Rising,tt0118956,1998,19,71
248,The Deer Hunter,tt0077416,1978,32,74
249,Defiance,tt1034303,2008,58,248
250,The Departed,tt0407887,2006,51,117
251,Detroit Rock City,tt0165710,1999,47,153
252,Devil in a Blue Dress,tt0112857,1995,34,82
253,The Devil's Advocate,tt0118971,1997,43,120
254,Die Hard,tt0095016,1988,47,237
255,The Distinguished Gentleman,tt0104114,1992,49,197
256,Disturbia,tt0486822,2007,20,48
257,Do the Right Thing,tt0097216,1989,34,171
258,Dog Day Afternoon,tt0072890,1975,53,410
260,Donnie Brasco,tt0119008,1997,50,160
261,The Doors,tt0101761,1991,95,567
262,Double Indemnity,tt0036775,1944,20,44
263,Drag Me to Hell,tt1127180,2009,30,77
264,Dragonslayer,tt0082288,1981,15,52
265,Drop Dead Gorgeous,tt0157503,1999,43,199
266,A Dry White Season,tt0097243,1989,53,161
268,Dumb & Dumber,tt0109686,1994,37,86
269,Dune,tt0087182,1984,34,98
271,Eagle Eye,tt1059786,2008,76,185
272,Eastern Promises,tt0765443,2007,23,53
273,Edtv,tt0131369,1999,77,246
274,Ed Wood,tt0109707,1994,60,246
276,Eight Legged Freaks,tt0271367,2002,24,86
278,Election,tt0126886,1999,36,91
279,The Elephant Man,tt0080678,1980,39,90
280,Elizabeth: The Golden Age,tt0414055,2007,43,136
281,Enemy of the State,tt0120660,1998,60,152
282,The English Patient,tt0116209,1996,34,72
283,Entrapment,tt0137494,1999,10,19
286,Erin Brockovich,tt0195685,2000,40,73
287,Escape from L.A.,tt0116225,1996,35,91
288,Escape from New York,tt0082340,1981,26,49
289,Eternal Sunshine of the Spotless Mind,tt0338013,2004,32,69
290,Even Cowgirls Get the Blues,tt0106834,1993,37,98
291,Event Horizon,tt0119081,1997,19,56
292,The Evil Dead,tt0083907,1981,5,10
293,Evil Dead II,tt0092991,1987,13,30
294,Excalibur,tt0082348,1981,30,97
295,Extract,tt1225822,2009,28,75
296,The Fabulous Baker Boys,tt0097322,1989,36,80
297,Face/Off,tt0119094,1997,38,106
298,Fair Game,tt0977855,2010,68,214
299,The Family Man,tt0218967,2000,32,64
300,Fantastic Four,tt0120667,2005,37,114
301,Fantastic Mr. Fox,tt0432283,2009,32,142
302,Fargo,tt0116282,1996,32,64
303,Fast Times at Ridgemont High,tt0083929,1982,57,151
304,Fatal Instinct,tt0106873,1993,39,108
305,Fear and Loathing in Las Vegas,tt0120669,1998,40,84
306,Babette's Feast,tt0092603,1987,29,254
307,Ferris Bueller's Day Off,tt0091042,1986,39,99
308,The Fifth Element,tt0119116,1997,62,186
309,Fight Club,tt0137523,1999,46,94
310,Final Destination,tt0195714,2000,31,150
311,Final Destination 2,tt0309593,2003,38,171
313,Five Easy Pieces,tt0065724,1970,21,61
314,Fletch,tt0089155,1985,48,124
315,The Flintstones,tt0053502,1960,35,105
316,Forrest Gump,tt0109830,1994,94,271
317,Four Feathers,tt0005353,1915,19,26
318,Four Rooms,tt0113101,1995,28,70
319,Fracture,tt0488120,2007,35,68
320,French Kiss,tt0113117,1995,68,158
321,Frankenstein,tt0109836,1994,56,160
322,Freddy vs. Jason,tt0329101,2003,37,92
323,The French Connection,tt0067116,1971,40,78
324,Frequency,tt0186151,2000,39,90
325,Friday the 13th,tt0080761,1980,14,36
326,Friday the 13th Part VIII: Jason Takes Manhattan,tt0097388,1989,27,88
327,From Dusk Till Dawn,tt0116367,1996,21,86
328,Cashback,tt0460740,2006,9,21
329,Frozen River,tt0978759,2008,22,32
330,The Fugitive,tt0106977,1993,58,146
331,Funny People,tt1201167,2009,43,104
332,G.I. Jane,tt0119173,1997,41,141
333,G.I. Joe: The Rise of Cobra,tt1046173,2009,29,84
334,Game 6,tt0425055,2005,33,73
335,The Game,tt0119174,1997,49,116
336,Gamer,tt1034032,2009,43,104
337,Gandhi,tt0083987,1982,76,200
338,Gang Related,tt0118900,1997,57,189
339,Gangs of New York,tt0217505,2002,70,266
340,Gattaca,tt0119177,1997,30,71
341,Get Carter,tt0067128,1971,27,58
343,The Getaway,tt0068638,1972,31,60
344,Ghost,tt0099653,1990,37,118
346,Ghost Rider,tt0259324,2007,74,251
347,Ghost Ship,tt0288477,2002,15,46
348,Ghost World,tt0162346,2001,53,144
349,Ghostbusters,tt0087332,1984,14,41
350,Ghostbusters II,tt0097428,1989,33,106
351,Ginger Snaps,tt0210070,2000,27,82
352,Gladiator,tt0172495,2000,29,82
354,Go,tt0139239,1999,34,96
355,The Godfather,tt0068646,1972,42,104
356,The Godfather: Part II,tt0071562,1974,78,219
357,Gods and Monsters,tt0120684,1998,26,70
358,Godzilla,tt0120685,1998,49,151
359,Gone in Sixty Seconds,tt0187078,2000,39,117
361,Good Will Hunting,tt0119217,1997,31,65
362,Gothika,tt0348836,2003,22,59
363,The Graduate,tt0061722,1967,34,97
364,Gran Torino,tt1205489,2008,39,105
366,Grand Theft Parsons,tt0338075,2003,28,59
368,The Green Mile,tt0120689,1999,47,268
369,Gremlins,tt0087363,1984,51,286
370,Gremlins 2: The New Batch,tt0099700,1990,64,251
371,The Grifters,tt0099703,1990,33,61
372,Grosse Pointe Blank,tt0119229,1997,39,84
373,Groundhog Day,tt0107048,1993,54,139
374,The Grudge,tt0391198,2004,20,30
375,Hackers,tt0113243,1995,51,190
376,Halloween: The Curse of Michael Myers,tt0113253,1995,50,181
377,Hancock,tt0448157,2008,44,87
