Id,Label
2137452,ADAM
2140073,BECKY
2139971,BOY
2138079,BURKE
2136933,CLAIRE
2143908,CLAIRE [CONT'D]
2139904,DESK WOMAN
2139023,FILA GUY
2138815,FILTERED VOICE
2137724,GAINES
2139344,GAINES [CONT'D]
2140794,HOLLY
2138874,HUXLEY [SUBTITLES]
2137676,INTERCOM VOICE
2142520,IRENE
2138391,LOOP
2137277,MANNIE
2139613,MARCUS
2139037,NIKE HAT
2140691,NOELLE
2140084,REBECCA
2137018,RONNA
2142925,SANDRA
2137104,SIMON
2137211,SIMON [CONT'D]
2139644,SINGH
2139086,SKATE-PUNK GUY
2137040,STRINGY HAIRED WOMAN
2139605,TINY
2140611,VIC JR
2140806,VICTOR
2137262,VOICE ON INTERCOM
2143604,WAITER
2137493,ZACK
