Source,Target,Weight
286926,286934,1.0
279815,279818,2.0
280293,279847,1.0
280293,280238,4.0
280293,280260,1.0
280868,279855,1.0
280868,279847,1.0
280868,279105,2.0
280868,280304,2.0
279818,281576,1.0
279818,279847,1.0
285467,279855,1.0
285467,285697,1.0
285467,285530,1.0
285467,285756,1.0
285467,279847,1.0
285467,285553,1.0
285467,285534,1.0
285467,285620,1.0
285467,285538,1.0
285467,285574,1.0
279855,283612,1.0
279855,281576,3.0
279855,281108,2.0
279855,279847,12.0
279855,280304,4.0
279855,282550,2.0
279320,279331,1.0
285697,279855,1.0
285697,285756,1.0
285697,279847,1.0
285530,279855,1.0
285530,285697,1.0
285530,285756,1.0
285530,279847,1.0
285530,285553,1.0
285530,285534,1.0
285530,285620,1.0
285530,285538,1.0
285530,285574,1.0
286869,286934,1.0
286869,286926,1.0
281112,279855,1.0
283075,282965,1.0
285756,279855,1.0
285756,279847,1.0
280230,280293,3.0
280230,280868,1.0
280230,279855,1.0
280230,281576,1.0
280230,281108,1.0
280230,279847,6.0
280230,280304,8.0
280230,280233,4.0
281576,283612,1.0
281576,281667,1.0
280348,279855,1.0
280348,281576,1.0
280348,280304,3.0
281108,281112,1.0
281108,279847,1.0
279847,279815,2.0
279847,283612,1.0
279847,282965,2.0
279847,283075,1.0
279847,281576,3.0
279847,280348,1.0
279847,279105,2.0
279847,280238,3.0
279847,281667,1.0
279847,280260,2.0
279847,280233,3.0
287377,279855,1.0
279105,279815,1.0
279105,288098,1.0
279105,279855,1.0
279105,280304,2.0
279105,281974,1.0
279105,279133,2.0
279105,279331,4.0
280238,279855,1.0
280238,280230,4.0
280238,281108,1.0
280238,280233,2.0
285553,279855,1.0
285553,285697,1.0
285553,285756,1.0
285553,279847,1.0
285553,285620,1.0
285553,285574,1.0
286846,286934,1.0
286846,286926,1.0
286846,286869,1.0
281667,279855,1.0
280304,287290,1.0
280304,280293,2.0
280304,281108,1.0
280304,279847,9.0
280304,280238,5.0
280304,286846,1.0
280304,287022,1.0
282550,287290,1.0
282550,283612,1.0
282550,285467,1.0
282550,285697,1.0
282550,285530,1.0
282550,285756,1.0
282550,281576,1.0
282550,279847,3.0
282550,285553,1.0
282550,280304,1.0
282550,285534,1.0
282550,285620,1.0
282550,285538,1.0
282550,285574,1.0
282921,282965,2.0
282921,283075,1.0
282921,279847,3.0
285534,279855,1.0
285534,285697,1.0
285534,285756,1.0
285534,279847,1.0
285534,285553,1.0
285534,285620,1.0
285534,285538,1.0
285534,285574,1.0
281974,279847,1.0
281974,280304,2.0
285620,279855,1.0
285620,285697,1.0
285620,285756,1.0
285620,279847,1.0
285538,279855,1.0
285538,285697,1.0
285538,285756,1.0
285538,279847,1.0
285538,285553,1.0
285538,285620,1.0
285538,285574,1.0
285574,279855,1.0
285574,285697,1.0
285574,285756,1.0
285574,279847,1.0
285574,285620,1.0
287022,286846,1.0
280260,280230,3.0
280260,280238,3.0
280260,280304,3.0
280260,280233,2.0
280233,280293,2.0
280233,281576,1.0
280233,280304,3.0
