Id,Label
4386074,AARON
4388827,AFTERNOON
4386876,AND
4386148,BEN
4387033,BRAD
4387820,CHARLIE
4386598,CLAYTON
4393434,COLONEL
4390743,CORRESPONDENT
4386134,DEBBIE
4391275,EMILIO
4391365,ESTRELLA
4386087,ETHAN
4391001,EVENING
4389486,FUTTERMAN
4390738,GENERAL
4390900,GIRL
4393104,GREENHILL
4386620,JORGENSEN
4390823,KEEFER
4385997,LATE AFTERNOON
4388941,LAURIE
4392649,LIEUTENANT
4390269,LOOK
4386340,LUCY
4386096,MARTHA
4386176,MARTIN
4389442,MORNING
4386625,MOSE
4387701,MRS JORGENSEN
4386642,NESBY
4387370,NIGHT
4390676,OFFICER
4386532,OMITTED
4391185,PROPRIETOR
4393203,RANGERS
4386585,SAM
4391473,SCAR
4387269,SUNSET
4387113,THE DOOR
