Source,Target,Weight
3251446,3251831,1.0
3251446,3249930,1.0
3251446,3253319,1.0
3251446,3249865,1.0
3254674,3250051,1.0
3250275,3251446,2.0
3250275,3250647,4.0
3250275,3251858,2.0
3250275,3252045,1.0
3250275,3253675,1.0
3250275,3251958,1.0
3250275,3251831,1.0
3250275,3251587,1.0
3250275,3251180,1.0
3250275,3254618,1.0
3250275,3253319,1.0
3250275,3250203,7.0
3250275,3250547,2.0
3250275,3252111,2.0
3250275,3252047,1.0
3250275,3253259,1.0
3250275,3250324,4.0
3250275,3249865,1.0
3250275,3252084,1.0
3251699,3250612,1.0
3251699,3250203,1.0
3251136,3251446,1.0
3251136,3250275,2.0
3251136,3249909,1.0
3251136,3250647,1.0
3251136,3251858,1.0
3251136,3253675,1.0
3251136,3250810,3.0
3251136,3250612,2.0
3251136,3251831,1.0
3251136,3253319,1.0
3251136,3250203,5.0
3251136,3252111,2.0
3251136,3254805,1.0
3251136,3253259,1.0
3251136,3250324,3.0
3251136,3249865,1.0
3254887,3253675,1.0
3252957,3253029,1.0
3252957,3252976,1.0
3254927,3251587,1.0
3254927,3250203,2.0
3249909,3250275,3.0
3249909,3249997,1.0
3249909,3250647,1.0
3249909,3253675,1.0
3249909,3250612,2.0
3249909,3249914,1.0
3249909,3250530,2.0
3249909,3249989,1.0
3249909,3250203,4.0
3249909,3254805,1.0
3249909,3250324,1.0
3250647,3252710,1.0
3250647,3252670,1.0
3250647,3250810,2.0
3250647,3251180,1.0
3250647,3254618,1.0
3250647,3250051,2.0
3250647,3250530,1.0
3250647,3249930,1.0
3250647,3253494,1.0
3251882,3251446,1.0
3251882,3250275,1.0
3251882,3252045,1.0
3251882,3251958,1.0
3251882,3250612,1.0
3251882,3250530,1.0
3251882,3249930,1.0
3251882,3250203,1.0
3251882,3252111,1.0
3251882,3252047,1.0
3251882,3250324,1.0
3251882,3252084,1.0
3251858,3251446,2.0
3251858,3251882,1.0
3251858,3252045,1.0
3251858,3251958,1.0
3251858,3250612,1.0
3251858,3251831,1.0
3251858,3250051,1.0
3251858,3250530,3.0
3251858,3249930,1.0
3251858,3253319,1.0
3251858,3252111,2.0
3251858,3252606,1.0
3251858,3252047,1.0
3251858,3253259,1.0
3251858,3249865,1.0
3251858,3252084,1.0
3254224,3250275,1.0
3252045,3251446,1.0
3252045,3250530,1.0
3252045,3249930,1.0
3252045,3252111,1.0
3252045,3252047,1.0
3252045,3250324,1.0
3252045,3252084,1.0
3253675,3250647,1.0
3253675,3250612,1.0
3253675,3249930,1.0
3251958,3251446,1.0
3251958,3252045,1.0
3251958,3250530,1.0
3251958,3249930,1.0
3251958,3250203,1.0
3251958,3252111,1.0
3251958,3252047,1.0
3251958,3250324,1.0
3251958,3252084,1.0
3249893,3250275,1.0
3249893,3251587,1.0
3249893,3250051,1.0
3249893,3250203,1.0
3252670,3252710,1.0
3252670,3250324,1.0
3250810,3252710,1.0
3250810,3251446,1.0
3250810,3250275,4.0
3250810,3251858,1.0
3250810,3253675,1.0
3250810,3252670,1.0
3250810,3251831,1.0
3250810,3251180,2.0
3250810,3254618,1.0
3250810,3250051,4.0
3250810,3250530,2.0
3250810,3249930,1.0
3250810,3253319,1.0
3250810,3250203,5.0
3250810,3252111,1.0
3250810,3253259,1.0
3250810,3250324,3.0
3250810,3249865,1.0
3250612,3251446,1.0
3250612,3250275,6.0
3250612,3250647,3.0
3250612,3252045,1.0
3250612,3251958,1.0
3250612,3250810,2.0
3250612,3251180,2.0
3250612,3250051,2.0
3250612,3250530,5.0
3250612,3249930,1.0
3250612,3250203,12.0
3250612,3250547,2.0
3250612,3252111,2.0
3250612,3252047,1.0
3250612,3250324,7.0
3250612,3252084,1.0
3252951,3253029,1.0
3252951,3252957,1.0
3252951,3252976,1.0
3252976,3253029,1.0
3251831,3253319,1.0
3251831,3249860,1.0
3251831,3249865,1.0
3251587,3253029,1.0
3251587,3252957,1.0
3251587,3252951,1.0
3251587,3252976,1.0
3251587,3252886,1.0
