Source,Target,Weight
4127038,4125302,1.0
4125299,4125302,1.0
4125458,4127053,1.0
4127303,4125400,1.0
4127303,4127309,1.0
4127303,4127217,1.0
4127303,4125302,1.0
4127303,4127198,1.0
4127505,4127217,1.0
4127505,4125302,2.0
4127505,4127198,2.0
4125490,4125458,1.0
4125466,4125458,2.0
4125466,4125462,2.0
4126619,4125302,1.0
4128796,4125302,1.0
4125400,4126513,1.0
4125400,4128355,1.0
4125400,4129058,1.0
4125400,4127198,1.0
4126714,4125302,2.0
4126714,4126649,2.0
4127882,4127309,1.0
4127309,4125400,3.0
4127309,4128355,1.0
4127309,4127217,1.0
4127309,4125302,1.0
4127309,4127198,1.0
4127309,4127962,1.0
4127053,4128796,1.0
4127184,4127217,1.0
4127184,4127198,1.0
4127217,4125400,1.0
4127217,4127198,2.0
4125302,4126513,1.0
4125302,4125458,3.0
4125302,4125466,2.0
4125302,4125400,11.0
4125302,4127882,1.0
4125302,4127053,5.0
4125302,4127217,3.0
4125302,4129170,5.0
4125302,4125462,2.0
4125302,4126649,2.0
4129170,4125400,1.0
4125462,4125458,2.0
4127878,4127882,1.0
4127878,4127309,1.0
4127198,4125302,4.0
4126649,4126654,1.0
4125932,4125302,1.0
4125932,4126649,1.0
4126501,4126513,1.0
4126501,4125400,1.0
4126501,4125302,2.0
