Id,Label
202721,AISLE
196598,ALI
201884,ALI - DAY
201370,ALI'S
204040,ALI'S CORNER
201588,ALI'S EYES
200378,ALI'S FACE
196821,ANGELO DUNDEE
197441,ANNOUNCER
197833,ANOTHER REPORTER
200109,BELINDA
203924,BELL
198267,BETTY SHABAZZ
198841,BINGHAM
199799,BOB ARUM
198480,BRADLEY
197018,BUNDINI
196976,CASSIUS
196697,CASSIUS CLAY SR
199481,CHAUNCEY ESKRIDGE
203840,CLAYTON
199865,COMMISSIONER
199221,CRAZY MAN
200289,CUSTOMER
202252,DAWN
197120,DOCTOR
202036,DON KING
203249,DUNDEE
198004,ELIJAH MUHAMMAD
199939,ERNIE TERRELL
202528,FOREMAN
200607,FRAZIER
197729,GIRL
198819,HERBERT
203262,HOLMES
197104,HOWARD COSELL
203319,IRENE
200345,JIMI HENDRIX
198958,JOE SMILEY
198236,JOSEPH 13X
202282,KIDS
200745,LANDLADY
203603,LIEUTENANT NSAKALA
199755,LIPSYTE
203974,LOW ANGLE
196688,LSG BOARD MEMBER
199631,LT JEROME CLARIDGE
199188,MALCOLM
196838,MALCOLM X
198349,MARLIN THOMAS
203570,MOBUTU
198505,MOBUTU'S MILITARY AIDE
197704,NIGHT
198191,ODESSA CLAY
198231,ONE OF HIS CHILDREN
203370,ORTF INTERVIEWER
197234,PACHECO
198304,PILOT
201773,PRESS
201308,QUARRY
201352,REFEREE
202883,REPORTER
197064,REPORTERS
197263,RUDY
203291,SADLER
197742,SAM COOKE
198629,SONJI
196768,SONNY LISTON
202327,TEENAGER
197059,THE DOCTOR
197013,THE MAN
198324,THE PILOT
203005,VERONICA
201230,WIDER
202166,ZAIRIAN OFFICIAL #1
