Source,Target,Weight
3472727,3472763,1.0
3474439,3472706,1.0
3474439,3472714,1.0
3474952,3474963,1.0
3473197,3474801,1.0
3473197,3473571,2.0
3473712,3472706,1.0
3473712,3473462,1.0
3473712,3472714,2.0
3475582,3472714,1.0
3474801,3474952,1.0
3474801,3474963,1.0
3474801,3473571,1.0
3474801,3472714,1.0
3475578,3475582,2.0
3475578,3472714,1.0
3473478,3474743,2.0
3473478,3473571,1.0
3473478,3472714,1.0
3473478,3473535,1.0
3473478,3473882,1.0
3474743,3473197,2.0
3474743,3474801,1.0
3474743,3472706,6.0
3473571,3474743,4.0
3473571,3472706,7.0
3473571,3476081,1.0
3473571,3472714,4.0
3472706,3472727,1.0
3472706,3473197,2.0
3472706,3474801,1.0
3472706,3473478,6.0
3472706,3478554,1.0
3472706,3472973,1.0
3472706,3473462,2.0
3472706,3473535,2.0
3472706,3473882,1.0
3475236,3472706,1.0
3476081,3472714,1.0
3473683,3473712,2.0
3473683,3472706,1.0
3473683,3473462,1.0
3473683,3472714,3.0
3473462,3472714,5.0
3472714,3472727,1.0
3472714,3473197,1.0
3472714,3474743,4.0
3472714,3478554,1.0
3472714,3472973,1.0
3472714,3472706,16.0
3472714,3475236,1.0
3473535,3473571,1.0
