Source,Target,Weight
3204820,3205398,2.0
3204820,3204794,4.0
3204820,3214050,1.0
3204820,3204835,3.0
3204820,3205024,1.0
3204820,3205330,1.0
3204820,3214041,1.0
3204820,3206604,1.0
3204820,3214099,1.0
3205398,3207540,2.0
3205398,3204794,7.0
3205398,3204835,7.0
3205398,3205330,9.0
3205398,3211313,2.0
3214016,3204820,1.0
3214016,3214050,1.0
3214016,3214041,1.0
3214016,3206604,1.0
3214016,3214099,1.0
3207540,3208815,2.0
3204881,3204835,1.0
3204794,3207540,6.0
3204794,3210768,1.0
3204794,3204881,1.0
3204794,3205024,6.0
3204794,3210265,1.0
3204794,3205198,1.0
3204794,3208815,3.0
3204794,3209399,1.0
3204794,3205010,1.0
3204794,3209411,1.0
3204794,3204860,1.0
3204794,3204990,1.0
3214050,3206604,1.0
3214050,3214099,1.0
3204835,3207540,4.0
3204835,3204794,12.0
3204835,3205198,1.0
3204835,3208815,3.0
3204835,3210759,1.0
3205024,3205398,6.0
3205024,3207540,1.0
3205024,3204835,5.0
3205024,3205330,4.0
3206558,3206583,1.0
3206558,3206604,1.0
3212297,3204794,1.0
3212297,3210265,1.0
3205330,3207540,3.0
3205330,3204794,7.0
3205330,3204835,6.0
3205330,3211313,1.0
3214041,3214050,1.0
3214041,3206604,1.0
3214041,3214099,1.0
3209399,3209411,1.0
3206583,3206604,1.0
3205010,3205024,1.0
3204860,3204881,1.0
3204860,3204835,1.0
3204786,3204794,1.0
3204990,3205024,1.0
3204990,3205010,1.0
3204847,3204881,1.0
3204847,3204794,1.0
3204847,3204835,1.0
3204847,3204860,1.0
3204847,3204852,1.0
3204852,3204881,1.0
3204852,3204794,1.0
3204852,3204835,1.0
3204852,3204860,1.0
3206604,3214099,1.0
3210759,3207540,1.0
3210759,3210768,1.0
3210759,3204794,4.0
3210759,3208815,1.0
