Source,Target,Weight
505397,502788,2.0
505397,507700,1.0
505397,504357,1.0
505397,503581,1.0
503066,502788,1.0
503066,503052,1.0
506479,502788,1.0
506479,506462,1.0
504418,503581,2.0
502788,504418,1.0
502788,503250,1.0
502788,504536,1.0
502788,507700,3.0
502788,503816,1.0
502788,504173,1.0
502788,503052,2.0
502788,506369,3.0
502788,506598,1.0
502788,505869,1.0
502788,504202,1.0
502788,504155,1.0
502788,503944,1.0
502788,504357,1.0
502788,506297,1.0
502943,502788,5.0
502943,506822,1.0
502943,503250,1.0
502943,505869,1.0
502943,503944,1.0
502943,505691,1.0
503446,502788,1.0
503446,502943,1.0
503446,503250,1.0
503446,503581,1.0
506822,505691,1.0
502718,502720,1.0
503646,502788,1.0
503250,503581,1.0
503914,502788,1.0
503914,502943,1.0
503914,503944,1.0
504536,503581,1.0
507656,502788,1.0
507656,507700,1.0
502720,505397,1.0
502720,502788,3.0
502720,502943,1.0
502720,506822,1.0
502720,507656,1.0
502720,507700,2.0
502720,505723,1.0
502720,504173,3.0
502720,502929,1.0
502720,503998,1.0
502720,504202,2.0
502720,504155,1.0
502720,504357,5.0
502720,505691,2.0
502720,503581,2.0
503406,502788,1.0
503406,502943,1.0
503406,503446,1.0
503406,503250,1.0
503406,503581,1.0
507381,504418,1.0
507381,502788,1.0
507381,503581,1.0
504173,504202,2.0
506369,503581,2.0
503023,502788,1.0
503023,503052,1.0
502929,502788,3.0
502929,502943,1.0
503998,504173,1.0
503998,504202,1.0
503998,504155,1.0
503998,504357,1.0
504202,504536,1.0
504202,504357,1.0
504202,503581,1.0
504155,504173,1.0
504155,504202,1.0
504155,504357,1.0
503109,502788,1.0
503109,502929,1.0
503235,503250,1.0
506462,502788,1.0
504357,507700,1.0
504357,504173,1.0
504357,503581,1.0
504702,502788,1.0
506097,502720,1.0
506097,504357,1.0
505691,505723,1.0
503581,502788,14.0
503581,502943,2.0
503581,503646,1.0
503581,507700,1.0
503581,503816,1.0
503581,506598,1.0
503581,505869,1.0
503581,502929,1.0
503581,506297,1.0
