Id,Label
3805228,ADELE
3810621,ANDY
3805475,BUDDY
3807273,BURDON
3805153,CHINO
3805023,COP
3809694,CRUZ
3810555,EXECUTIVE GUY
3810605,EXECUTIVE GUY #2
3804916,FOLEY
3808783,FOURTH MAN
3811280,GLEN
3805549,GLENN
3806968,GUARD
3805334,KAREN
3809094,KENNETH
3804923,LORETTA
3811749,MAID
3804995,MAN
3805328,MARSHALL
3806776,MAURICE
3812545,MIDGE
3807024,MOSELLE
3810353,MR HEARN
3808860,OLD GENT
3808852,OLD LADY
3807492,OLD WOMAN
3810592,PHILIP
3805088,PUP
3807637,RAY
3810413,RECEPTIONIST
3805681,RIPLEY
3805029,SECOND COP
3806266,TV
3810565,WAITRESS
3809173,WHITE BOY BOB
3805716,WOMAN
