Id,Label
4514467,AGENT ROSE
4517326,ARMY GENERAL
4517398,ATTORNEY GENERAL
4517362,CHIEF OF STAFF
4517359,CIA DIRECTOR
4517717,COL HARDWICK
4517338,CONGRESSMAN MARSHALL
4519931,CORPORAL
4514651,DANNY
4514049,DEVEREAUX
4518098,DISTRICT ATTORNEY
4514511,ELISE
4515908,FIBER EXPERT
4515790,FINGERPRINT EXPERT
4514233,FRANK
4514613,FRANK JR
4514418,FRED
4514255,HUB
4514708,INS OFFICIAL
4516727,JUDGE FRANKEL
4518137,MAN IN SUIT
4518083,MAYORAL AA
4519004,MECHANIC
4514335,MIKE
4517290,NEWS REPORTER
4517992,NEWSCASTER
4515220,NYPD OFFICER
4519073,PSY-OPS
4516147,SAMIR
4517355,SENATOR WRIGHT
4519979,SPEAKER
4517415,SPEAKER OF THE HOUSE
4517320,STEWARDESS
4514338,SUSSMAN
4514322,TAPED VOICE
4519023,TARIQ
4514622,TEACHER
4515741,TECHNICIAN
4514228,TINA
4515800,TV SOUND BITE
4518121,UNIFORM COP
4515762,WHITNEY
4519578,WIFE
4514491,WOMAN
4518958,YOUNG SOLDIER
