Id,Label
5541330,AMANDA LEER
5539108,BOUNCER
5537264,CARRIE MCWHIRTY
5537413,CRABTREE
5541327,FRED LEER
5542051,GOATEE KID
5537231,GRADY
5543494,GREENHUT
5540826,HANK
5537309,HANNAH GREEN
5537289,HOWARD
5537344,JAMES LEER
5539568,JANITOR
5537983,MAN
5537934,MAN IN TWEED
5542737,MARILYN
5537435,MISS SLOVIAK
5539975,OFFICER PUPCIK
5542755,OOLA
5537357,SARA
5537956,SHORT MAN
5537607,TANYA
5539582,TRAXLER
5542773,VERNON
5539444,VERNON HARDAPPLE
5539202,WAITRESS
5537991,WALTER
5537875,WALTER GASKELL
5537423,WOMAN
