Source,Target,Weight
5415796,5414630,1.0
5414640,5414630,3.0
5414640,5414703,1.0
5414630,5416890,1.0
5414630,5416641,1.0
5414630,5416771,1.0
5414630,5416167,1.0
5414630,5414703,20.0
5415779,5415796,1.0
5415779,5414630,1.0
5417867,5414630,1.0
5417867,5417873,1.0
5416641,5414703,1.0
5419644,5414630,1.0
5415484,5414630,7.0
5415484,5414703,1.0
5416167,5415484,1.0
5416167,5414703,1.0
5415183,5414630,2.0
5418547,5414630,3.0
5418049,5414630,2.0
5414703,5415796,1.0
5414703,5415779,1.0
5414703,5418049,1.0
5414703,5416619,1.0
5416619,5414630,1.0
5416619,5416641,1.0
5416619,5415484,1.0
5418043,5414630,1.0
5418043,5418049,1.0
5418043,5414703,1.0
5417873,5414630,1.0
