Source,Target,Weight
4769894,4770383,1.0
4769894,4769112,1.0
4769650,4769119,1.0
4772901,4771329,1.0
4772901,4769261,1.0
4772901,4770051,2.0
4770175,4770343,1.0
4770175,4769205,1.0
4771904,4769650,1.0
4771904,4772431,1.0
4769440,4769119,1.0
4769119,4769894,2.0
4769119,4772901,1.0
4769119,4771329,1.0
4769119,4773448,1.0
4769119,4773543,4.0
4769119,4769112,3.0
4769119,4769205,2.0
4769119,4770051,1.0
4773448,4769261,1.0
4773448,4769357,1.0
4770669,4770610,1.0
4773543,4772901,2.0
4773543,4771329,1.0
4773543,4769112,1.0
4773543,4770051,2.0
4769261,4769894,2.0
4769261,4769610,1.0
4769261,4769119,22.0
4769261,4771329,1.0
4769261,4773543,5.0
4769261,4770286,1.0
4769261,4769205,3.0
4769261,4769357,12.0
4769596,4769610,1.0
4769596,4769357,1.0
4769112,4769650,2.0
4769112,4771904,2.0
4769112,4770383,2.0
4769112,4769261,1.0
4769112,4771890,1.0
4769112,4770610,1.0
4770116,4769112,1.0
4772252,4773040,1.0
4772252,4770019,1.0
4772252,4773027,1.0
4772252,4770051,1.0
4770022,4770019,1.0
4770019,4772901,1.0
4770286,4769610,1.0
4769205,4769923,1.0
4769205,4769357,1.0
4769923,4769119,1.0
4769923,4769261,1.0
4769923,4769357,1.0
4771890,4771904,1.0
4769357,4769894,2.0
4769357,4772901,1.0
4769357,4769440,1.0
4769357,4769610,1.0
4769357,4769119,18.0
4769357,4771329,1.0
4769357,4773543,4.0
4769357,4769112,1.0
4769357,4773721,1.0
4769357,4770051,1.0
4773027,4773040,1.0
4770418,4770175,1.0
4770051,4772308,1.0
4770051,4771329,1.0
4770051,4769261,1.0
4770051,4769112,2.0
4770051,4770022,1.0
4770051,4770019,4.0
4770051,4770200,1.0
4770200,4770022,1.0
4770200,4770019,1.0
4770200,4771003,1.0
4772431,4769650,1.0
4772431,4769112,4.0
4769751,4769119,1.0
4769751,4769112,1.0
