Source,Target,Weight
4043004,4042798,1.0
4042341,4042392,1.0
4042341,4042025,1.0
4042392,4042400,3.0
4048243,4048156,1.0
4048243,4042016,1.0
4048195,4048156,1.0
4048195,4048243,1.0
4048195,4044844,1.0
4048195,4042016,1.0
4048195,4048198,1.0
4044844,4045049,1.0
4044844,4048156,2.0
4044844,4048243,1.0
4044844,4044847,1.0
4042400,4042341,2.0
4042025,4043004,3.0
4042025,4042392,2.0
4042025,4042400,2.0
4042025,4043644,3.0
4042025,4042798,1.0
4042025,4043832,1.0
4043282,4043004,1.0
4043282,4042025,1.0
4043282,4042798,1.0
4046832,4043644,1.0
4046374,4044844,2.0
4046374,4042016,2.0
4046374,4046494,2.0
4043644,4045049,3.0
4043644,4044844,1.0
4043644,4042016,5.0
4043644,4043832,1.0
4042016,4045049,1.0
4042016,4048156,2.0
4042016,4044844,10.0
4042016,4042025,1.0
4042016,4046494,2.0
4046494,4044844,1.0
4048198,4048156,1.0
4048198,4048243,1.0
4048198,4044844,1.0
4048198,4042016,1.0
4044847,4045049,1.0
4044847,4042016,1.0
4044823,4045049,1.0
4044823,4044844,1.0
4044823,4042016,1.0
4044823,4044847,1.0
