Source,Target,Weight
5373973,5373975,1.0
5374680,5373975,1.0
5374525,5374542,1.0
5378261,5374301,1.0
5378261,5373975,1.0
5374301,5374717,1.0
5374301,5377990,1.0
5374301,5374317,3.0
5374301,5375185,2.0
5374301,5377119,1.0
5374301,5377987,1.0
5375357,5373975,1.0
5374542,5376952,1.0
5374542,5379353,1.0
5379100,5375728,1.0
5379100,5373975,1.0
5375728,5374369,1.0
5375728,5374542,1.0
5375728,5376952,1.0
5375728,5379353,1.0
5375728,5379258,1.0
5377706,5374301,1.0
5377706,5377735,1.0
5377706,5373975,1.0
5377735,5374301,1.0
5377735,5373975,1.0
5376952,5379353,1.0
5379258,5374542,1.0
5379258,5376952,1.0
5379258,5379353,1.0
5374317,5375357,2.0
5374317,5376952,1.0
5374317,5377119,1.0
5374317,5375622,1.0
5375185,5374317,1.0
5375185,5375622,1.0
5375185,5373975,3.0
5375622,5373975,2.0
5377987,5377990,1.0
5373975,5378472,2.0
5373975,5374717,1.0
5373975,5374369,2.0
5373975,5374525,1.0
5373975,5377990,1.0
5373975,5374301,16.0
5373975,5374542,2.0
5373975,5378432,1.0
5373975,5375728,2.0
5373975,5376952,2.0
5373975,5379353,1.0
5373975,5379258,1.0
5373975,5374317,9.0
5373975,5377119,1.0
5373975,5377987,1.0
