Source,Target,Weight
5430945,5431057,1.0
5430945,5430957,1.0
5430945,5430990,1.0
5430945,5431071,1.0
5433653,5431375,1.0
5433653,5433722,1.0
5433653,5431423,1.0
5433653,5432478,1.0
5433653,5431321,1.0
5433653,5433706,1.0
5431473,5431518,1.0
5431375,5431473,1.0
5431375,5431057,9.0
5431375,5434781,1.0
5431375,5434117,1.0
5431375,5434610,1.0
5431375,5431518,1.0
5431375,5431226,5.0
5431375,5431321,1.0
5431057,5433653,1.0
5431057,5431473,1.0
5431057,5433182,1.0
5431057,5431220,1.0
5431057,5434117,2.0
5431057,5433722,1.0
5431057,5432103,1.0
5431057,5434610,1.0
5431057,5432478,6.0
5431057,5431518,1.0
5431057,5431226,8.0
5431057,5431321,2.0
5431057,5432473,2.0
5431057,5433706,1.0
5431220,5431473,1.0
5431220,5431375,1.0
5431220,5431423,1.0
5431220,5431518,1.0
5431220,5431321,1.0
5434781,5431057,1.0
5433336,5431071,1.0
5430941,5430945,1.0
5430941,5431057,1.0
5430941,5430957,1.0
5430941,5430990,1.0
5430941,5431071,1.0
5430957,5431057,1.0
5430957,5430990,1.0
5430957,5431071,1.0
5433722,5431375,1.0
5433722,5431423,1.0
5433722,5432478,1.0
5433722,5431321,1.0
5431423,5431473,1.0
5431423,5431375,7.0
5431423,5431057,8.0
5431423,5434117,1.0
5431423,5432478,2.0
5431423,5431518,1.0
5431423,5431226,6.0
5431977,5431057,1.0
5431977,5431518,1.0
5431977,5431226,1.0
5434610,5434781,1.0
5432478,5431375,5.0
5432478,5434117,1.0
5432478,5435315,1.0
5432478,5431321,1.0
5432478,5432473,4.0
5431244,5431473,1.0
5431244,5431375,1.0
5431244,5431057,1.0
5431244,5431220,1.0
5431244,5431423,1.0
5431244,5431518,1.0
5431244,5431226,1.0
5431244,5431321,1.0
5431226,5433653,1.0
5431226,5431473,1.0
5431226,5433182,1.0
5431226,5431220,1.0
5431226,5434117,2.0
5431226,5433722,1.0
5431226,5432103,2.0
5431226,5432478,5.0
5431226,5431518,1.0
5431226,5431321,2.0
5431226,5431981,2.0
5431226,5433706,1.0
5431226,5431071,6.0
5431321,5431473,1.0
5431321,5431423,2.0
5431321,5431518,1.0
5430990,5431057,1.0
5430990,5431071,1.0
5431981,5431057,1.0
5431981,5432103,2.0
5431981,5431977,2.0
5431981,5431518,1.0
5432473,5431375,2.0
5432473,5435315,1.0
5432473,5431226,1.0
5433706,5431375,1.0
5433706,5433722,1.0
5433706,5431423,1.0
5433706,5432478,1.0
5433706,5431321,1.0
5431071,5431375,2.0
5431071,5431057,5.0
5431071,5433182,1.0
5431071,5434117,2.0
5431071,5431423,2.0
5431071,5432478,3.0
5431071,5435315,1.0
5431071,5432473,1.0
