Source,Target,Weight
1098347,1096164,1.0
1095504,1095626,1.0
1095504,1095519,1.0
1095626,1097870,1.0
1095626,1095501,3.0
1095626,1100876,1.0
1097359,1097388,1.0
1097359,1097394,1.0
1097359,1096164,1.0
1097359,1096133,1.0
1097388,1097394,1.0
1097388,1096164,1.0
1099036,1096614,2.0
1099036,1097947,2.0
1099036,1095358,4.0
1099036,1099760,1.0
1099036,1099258,1.0
1099036,1096133,1.0
1099036,1095501,4.0
1097304,1095358,1.0
1097394,1098347,1.0
1097394,1096164,2.0
1096164,1096179,1.0
1096164,1096133,2.0
1098842,1097155,1.0
1097155,1097304,1.0
1097155,1096614,2.0
1097155,1096133,1.0
1097155,1097166,2.0
1096614,1097947,1.0
1096614,1095358,5.0
1096614,1096133,1.0
1096614,1097166,1.0
1096614,1095501,5.0
1097870,1100295,1.0
1097870,1099036,4.0
1097870,1097155,2.0
1097870,1096614,6.0
1097870,1097947,4.0
1097870,1095358,7.0
1097870,1099258,1.0
1097870,1100571,1.0
1097870,1098111,1.0
1097870,1097166,2.0
1097870,1095501,8.0
1097870,1098985,1.0
1097870,1098974,1.0
1096854,1097031,1.0
1097947,1100295,1.0
1097947,1095358,1.0
1097947,1097166,1.0
1095358,1098570,1.0
1095358,1097155,2.0
1095358,1096854,1.0
1095358,1095380,1.0
1095358,1096390,1.0
1095358,1098947,1.0
1095358,1097616,1.0
1095358,1098111,1.0
1095358,1097031,1.0
1095358,1097166,2.0
1095358,1095363,1.0
1095358,1095501,15.0
1095358,1097688,1.0
1095358,1098985,1.0
1095358,1096792,1.0
1095358,1098794,1.0
1095358,1098974,1.0
1095519,1095626,1.0
1096390,1095501,1.0
1099760,1099899,1.0
1099258,1095358,1.0
1099258,1096133,2.0
1099258,1099607,1.0
1099258,1099635,1.0
1096133,1098347,1.0
1096133,1100412,1.0
1096133,1095626,2.0
1096133,1097388,1.0
1096133,1097394,2.0
1096133,1096179,1.0
1096133,1097870,3.0
1096133,1095358,3.0
1096133,1099607,1.0
1096133,1096147,1.0
1096133,1099635,1.0
1096133,1095501,4.0
1096133,1100876,2.0
1098947,1096614,1.0
1098947,1097870,1.0
1098947,1098985,1.0
1098947,1098974,1.0
1099607,1095358,1.0
1099607,1099635,1.0
1096147,1096164,1.0
1096147,1096179,1.0
1099635,1095358,1.0
1097616,1097688,1.0
1100571,1096164,1.0
1100571,1096133,2.0
1098111,1095501,1.0
1097166,1095501,1.0
1095363,1095380,1.0
1095501,1098570,1.0
1095501,1095504,1.0
1095501,1098842,1.0
1095501,1097155,2.0
1095501,1096854,1.0
1095501,1097947,2.0
1095501,1095519,1.0
1095501,1099760,2.0
1095501,1098947,1.0
1095501,1097616,1.0
1095501,1097031,1.0
1095501,1097688,1.0
1095501,1099899,1.0
1095501,1098985,1.0
1095501,1096792,1.0
1095501,1098794,1.0
1095501,1098974,1.0
1099899,1099036,1.0
1099899,1097870,1.0
1098654,1100635,1.0
1098654,1095358,1.0
1098654,1095501,1.0
1098985,1096614,1.0
1095935,1095358,1.0
1095935,1095501,2.0
1096792,1096854,1.0
1096792,1097031,1.0
1100876,1097870,3.0
1100876,1100571,1.0
1100876,1095501,1.0
1095330,1095358,1.0
1095330,1095380,1.0
1095330,1095363,1.0
1098974,1096614,1.0
1098974,1098985,1.0
