Source,Target,Weight
1348550,1351425,1.0
1348550,1348544,3.0
1348550,1351221,2.0
1348550,1352254,1.0
1348550,1348469,5.0
1348550,1349496,1.0
1348550,1348765,2.0
1353463,1348550,1.0
1348639,1348550,4.0
1348639,1349490,2.0
1348639,1351221,3.0
1348639,1348605,1.0
1349047,1348639,1.0
1349047,1349080,1.0
1348544,1348639,2.0
1348544,1349490,1.0
1348544,1348556,1.0
1348544,1350208,1.0
1348544,1348605,1.0
1351092,1348550,1.0
1351092,1348556,1.0
1349913,1348550,1.0
1349913,1348469,1.0
1348957,1348550,1.0
1348957,1348469,1.0
1348957,1348765,1.0
1350936,1348550,1.0
1350936,1348556,1.0
1349490,1348550,4.0
1349490,1351221,1.0
1349490,1348469,4.0
1349490,1353546,1.0
1351221,1351092,1.0
1351221,1349496,1.0
1351221,1348765,2.0
1348556,1348550,2.0
1348556,1348639,1.0
1348556,1348605,1.0
1348556,1350908,1.0
1349080,1348639,2.0
1349080,1351221,1.0
1351348,1348550,2.0
1351348,1351425,1.0
1348469,1348639,1.0
1348469,1349047,1.0
1348469,1349080,2.0
1348469,1349496,2.0
1348469,1348765,2.0
1348469,1353546,1.0
1350208,1348550,1.0
1350208,1348639,1.0
1349496,1348639,2.0
1349496,1349490,5.0
1348605,1348550,1.0
1348765,1349490,1.0
1348765,1352254,1.0
1350908,1350936,1.0
1351040,1348550,1.0
1351040,1351092,1.0
1351040,1348556,1.0
