Id,Label
2608268,AAC CINC
2610078,AIDE
2607774,AIDE #1
2607783,AIDE #2
2610024,ALEX
2609339,ALICIA
2613336,CHAPLAIN
2608274,CHIEF OF STAFF
2609799,CNN REPORTER
2612358,COMMANDER
2607229,COMMANDING OFFICER
2607424,CONSTANCE
2607504,DAVID
2608682,DYLAN
2607226,GENERAL GREY
2611656,GUARD
2612586,ISAACS
2608688,JASMINE
2609576,JIMMY
2607715,LUCAS
2608694,MAN
2607319,MARGARET
2609502,MARIO
2607590,MARTY
2608470,MECHANIC #1
2608477,MECHANIC #2
2612048,MED ASSIST #2
2607668,MIGUEL
2611494,MITCHELL
2607499,MOISHE
2608158,NEWSCASTER
2607822,NIMZIKI
2608115,OFFICER
2611503,OKUN
2612111,OKUN/ALIEN
2609334,OLDER BOY
2610890,OPERATOR
2607352,PATRICIA
2611094,PHILIP
2610139,POLICE
2608150,PRESIDENT
2607836,PRESIDENT WHITMORE
2610155,RADIO VOICE
2611341,REDNECK
2609275,REPORTER
2608018,RUSSELL
2607816,SEC OF DEFENSE
2607274,SECOND OFFICER
2608590,SECRET SERVICE GUY
2607402,SECURITY GUARD
2612168,SOLDIER
2612150,SOLIDER
2612245,STAFFER
2608747,STEVE
2611294,TALL MAN
2610676,TECHNICIAN
2612338,TECHNICIAN #1
2610680,TECHNICIAN #2
2611753,TECHY
2611329,TEDDY
2609467,TIFFANY
2607671,TROY
2610452,WATSON
2607310,WHITMORE
2608843,WOLF BLITZER
2607303,WOMAN
